"City, School",Rank,breakfast,breakfast id,lunch,lunch id,dinner,dinner id,dessert,dessert id,fast_food,fast_food id,coffee,coffee id,night_life,night_life id,,Grocery,Retail,night life,attractions,Outdoors,Social Places,meet,Random,recreation,games,study,Sports,Performing Arts,Movies,,,,,
"Computer Row, Disregard Human:",rank,,6,,7,,8,,10,,9,,11,,14,,,,,,,,,,,,,,,,,,,,
"London, Western",1,The Spoke,2cdc7213-e44b-4704-8a9a-e3bfa602f405,Center Spot,,Ozen Sushi,0fa11b4d-d120-47a0-9c0b-49447dbf6034,Yoyos,874c1d46-35fd-4254-9a66-b01e397831d9,The Spoke,2cdc7213-e44b-4704-8a9a-e3bfa602f405,Tim Hortons,ece8bd86-dc74-4472-9d57-e5a05513a8f1,Ceeps,251e7a6d-4253-4fbe-9979-4e13a9207087,DO NOT FILL ,Valu Mart,Masonville,Ceeps,Fleetway,River walk,UCC,UCC,Menchies,Rec Center,,Weldon 2nd Floor,,,,,,,,
,2,Tim Hortons,ece8bd86-dc74-4472-9d57-e5a05513a8f1,Subway,67db073a-dfca-4bb5-ab0b-acf8922111d7,Zen Garden,3d39f52e-474f-49b0-bf75-d947bf4b071d,Symposium Café,07e2a6d3-c0e1-475b-8f3e-9b6af750aa78,Barakat,1377336f-aa65-4fe7-85b9-447ab7d59090,Starbucks,Starbucks,Frog,27385fd1-9550-498f-a195-b4a70992be31,DO NOT FILL ,,Valu Mart,Frog,Masonville,Skating Rink,Masonville,Mustang Lounge,Downtown London,UC Hill,,Mustang Lounge,,,,,,,,
,3,Starbucks,Starbucks,Residence,,Jack Astors,5e58879c-7693-40e7-b5c1-b6508d274ecc,Barakat Froyo,07e2a6d3-c0e1-475b-8f3e-9b6af750aa78,McDonalds,04d47a2c-371d-4eab-b39d-3ebc402413a0,The Spoke,2cdc7213-e44b-4704-8a9a-e3bfa602f405,JBRs,072897f6-c6b3-46da-a1a3-58a4f251fe24,DO NOT FILL ,,,JBRs,Art Gallery,,,UC Hill,Zen Garden,Soccer Fields,,Thames Hall,,,,,,,,
,4,Christina's Pub,dada5b28-7f74-49a5-b790-61d0817c2a3c,Sommerville,,The Spoke,2cdc7213-e44b-4704-8a9a-e3bfa602f405,Marble Slab,ce9e369e-f10e-438b-8c0e-68b1745bbb04,Pita Pita,6a53094a-23a4-4d08-9946-0a353e0c24a3,SecondCup,6dde9f3e-90a1-47d7-94b1-5202b139d160,Jacks,1676d25f-71ac-4d15-b896-7f9e7441c4c2,DO NOT FILL ,,,Jacks,Astronomy Tower,,,,Cineplex,,,Physics Building,,,,,,,,
,5,Cora's,33f0a184-01e4-4c95-b4c8-420480f19896,Manna Grill,00234fbf-e844-4186-84ca-3cac39f7f5f1,The Wave,5a0b44eb-18bf-43d0-842d-548a10194e4f,London ice Cream Co,6722467a-9669-471b-9920-7a28b2403dc3,King Richies,981a7ee5-7677-4c12-93e4-1054ebcd642f,Lunch at One Eleven,d2000157-9dca-4690-99c4-c12a184727a1,Tap House,15241864-0185-4cde-b289-5a760c20bf34,DO NOT FILL ,,,Tap House,,,,,Masonville,,,UCC,,,,,,,,
,6,,,Cora's,33f0a184-01e4-4c95-b4c8-420480f19896,Vegout,ba0147f4-242a-4f4c-b105-74f8259a14e4,Dairy Queen,93b8181b-f886-45a1-9aff-e54f1d0f482b,Masonville food court,a931aeb1-05e8-421f-9dde-ed638e4e7c47,Coffee Culture,b303435f-3ece-43f7-ad82-576e01bae07c,,,,,,,,,,,,,,,,,,,,,,
,7,,,High Lunch,1fc05090-abef-4341-a10b-0a7887ac7ff3,Fireside Family Restaurant,65542d1e-4d62-4dc1-b353-9c371850fdae,New Wave Ice Cream,556b2131-2ab6-4c76-a6d8-fa7732585714,Harvey's On Campus,38216a04-1780-4b69-8048-1a9fa5113198,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,5 Guys Burgers and Fries,8705b018-4f68-44fe-b78e-4b24b2069074,Yogen Fruz,79755e60-e192-424b-9c55-a07d1c271941,Subway,67db073a-dfca-4bb5-ab0b-acf8922111d7,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,Moxies,c07bccb3-406a-427e-aad9-c79efa7a1c73,The Yogurt Place,e6605cb2-cfbb-4663-8309-0b9ea60f1125,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,Cultures Fresh Food Restaurant,30e5c759-6b5c-4956-b2cf-573d621e8ba5,Prairie Harvest Bakery,5a1acb93-feb8-4d1e-bad7-eafdad0dc805,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,Under the Volcano,6994354e-d6a3-47a3-8843-621b1b513f69,Mr Frostee,a0b9a404-1aa3-4096-9bdb-bd910d621697,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,Christina's Pub,dada5b28-7f74-49a5-b790-61d0817c2a3c,,,,,,,,,DO NOT FILL ,,,,,,,,,,,,,,,,,,,
,13,,,,,Crabby Joe's Tap & Grill,a3aaf535-36c2-4078-b558-4389efa4a0bb,,,,,,,,,DO NOT FILL ,,,,,,,,,,,,,,,,,,,
,14,,,,,Auberge du Petit Prince,11be0c53-ba6b-4856-a5b0-7aaa6c562dc6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,,,,London Tokyo Sushi,052b71d8-95bc-4764-8cf9-a5c4d76831e8,,,,,,,,,DO NOT FILL ,,,,,,,,,,,,,,,,,,,
"Toronto, UTSG",1,Tim Hortons,,Innis Café,,Robarts Cafeteria,,Caffiends,,Mcdonalds,,L'espresso,,Victory Café,,,,,Victory Café,CN Tower,Scarborough Bluffs,Victory Café,Robarts,Carens Wine ,Field House,,Regis College Library,,,,,,,,
,2,Starbucks,,Hot Yam!,,Rotman Café,,OISE Café,,Burger King,,Tik Tak,,Sneaky Dee's,,,,,Sneaky Dee's,ACC,,The Local,Field House,The Roof Lounge,,,Robarts,,,,,,,,
,3,Aunties & Uncles,,Gallery Grill,,The Buttery,,Ned's Café,,Pizza Pizza,,Tim Hortons,,O'Grady's,,,,,O'Grady's,Rogers Stadium,,House on Parliament,Commuter Student Centre,Gallery Grill,,,John W Graham Library,,,,,,,,
,4,Karine's,,Subway,,Howard Ferguson Dining Hall,,Diabolos Coffee Bar,,,,Starbucks,,Disgraceland,,,,,Disgraceland,King St.,,,,Ben Mcnally Books,,,Innis College Library,,,,,,,,
,5,,,,,,,,,,,Grad Room: Second Cup,,,,,,,,Eaton Centre,,,,,,,Commuter Student Centre,,,,,,,,
"Kitchener-Waterloo, Waterloo & Laurier",1,Coras,,Subway,,Sushi 99,,Symposium Café,,McDonalds,,Tim Hortons,,Dallas,,DO NOT FILL ,,,Dallas,,,Dallas,Willias,Menchies,CIS Gym,Gaming,Home,,,,,,,,
,2,McDonalds,,Frat Burger,,Ben Thanh,,Sweet Dreams Bubble Tea,,Subway,,,,Chainsaw,,DO NOT FILL ,,,Chainsaw,,,Chainsaw,SLC,Café 22,PAC Gym,Rec center,Dana Porter Library,,,,,,,,
